3,"select O.objID, O.ra, O.dec, O.psfMag_r, O.insideMask, O.type into mydb.Data_without_Z_only_galaxies from PhotoObjAll as O where O.ra BETWEEN # AND #   AND O.dec BETWEEN # AND #   AND O.type = #"
2019-01-17 12:36:00,2
2019-01-17 12:37:00,1
