522,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-01-17 01:47:00,1
2019-01-17 01:48:00,2
2019-01-17 01:52:00,2
2019-01-17 01:53:00,5
2019-01-17 02:00:00,1
2019-01-17 02:01:00,5
2019-01-17 02:04:00,1
2019-01-17 02:05:00,1
2019-01-17 02:06:00,2
2019-01-17 02:07:00,1
2019-01-17 02:26:00,1
2019-01-17 02:29:00,4
2019-01-17 02:30:00,5
2019-01-17 02:31:00,5
2019-01-17 02:32:00,5
2019-01-17 02:33:00,4
2019-01-17 02:34:00,6
2019-01-17 02:35:00,7
2019-01-17 02:36:00,5
2019-01-17 02:37:00,5
2019-01-17 02:38:00,4
2019-01-17 02:39:00,6
2019-01-17 02:40:00,6
2019-01-17 02:41:00,6
2019-01-17 02:42:00,6
2019-01-17 02:43:00,6
2019-01-17 02:44:00,7
2019-01-17 02:45:00,8
2019-01-17 02:46:00,6
2019-01-17 02:47:00,5
2019-01-17 02:48:00,8
2019-01-17 02:49:00,6
2019-01-17 02:50:00,7
2019-01-17 02:51:00,6
2019-01-17 02:52:00,7
2019-01-17 02:53:00,6
2019-01-17 02:54:00,6
2019-01-17 02:55:00,8
2019-01-17 02:56:00,7
2019-01-17 02:57:00,6
2019-01-17 02:58:00,6
2019-01-17 02:59:00,7
2019-01-17 03:00:00,5
2019-01-17 03:01:00,6
2019-01-17 03:02:00,6
2019-01-17 03:03:00,6
2019-01-17 03:04:00,8
2019-01-17 03:05:00,8
2019-01-17 03:06:00,6
2019-01-17 03:07:00,6
2019-01-17 03:08:00,7
2019-01-17 03:09:00,8
2019-01-17 03:10:00,8
2019-01-17 03:11:00,7
2019-01-17 03:12:00,6
2019-01-17 03:13:00,7
2019-01-17 03:14:00,5
2019-01-17 03:15:00,6
2019-01-17 03:16:00,6
2019-01-17 03:17:00,7
2019-01-17 03:18:00,8
2019-01-17 03:19:00,7
2019-01-17 03:20:00,8
2019-01-17 03:21:00,6
2019-01-17 03:22:00,7
2019-01-17 03:23:00,8
2019-01-17 03:24:00,8
2019-01-17 03:25:00,9
2019-01-17 03:26:00,6
2019-01-17 03:27:00,7
2019-01-17 03:28:00,8
2019-01-17 03:29:00,6
2019-01-17 03:30:00,7
2019-01-17 03:31:00,5
2019-01-17 03:32:00,7
2019-01-17 03:33:00,9
2019-01-17 03:34:00,6
2019-01-17 03:35:00,7
2019-01-17 03:36:00,7
2019-01-17 03:37:00,6
2019-01-17 03:38:00,8
2019-01-17 03:39:00,5
2019-01-17 03:40:00,7
2019-01-17 03:41:00,7
2019-01-17 03:42:00,8
2019-01-17 03:43:00,8
2019-01-17 03:44:00,7
2019-01-17 03:45:00,4
