13,"SELECT DISTINCT p.objID, p.ra, p.dec, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-17 10:23:00,1
2019-01-17 12:49:00,1
2019-01-17 12:58:00,1
2019-01-17 13:10:00,1
2019-01-17 13:12:00,1
2019-01-17 13:14:00,1
2019-01-17 13:16:00,1
2019-01-17 13:45:00,1
2019-01-17 19:04:00,1
2019-01-17 19:09:00,1
2019-01-17 19:17:00,1
2019-01-17 19:19:00,1
2019-01-17 19:24:00,1
