123,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-01-17 06:01:00,2
2019-01-17 06:02:00,5
2019-01-17 06:03:00,5
2019-01-17 06:04:00,5
2019-01-17 06:05:00,6
2019-01-17 06:06:00,6
2019-01-17 06:07:00,5
2019-01-17 06:08:00,6
2019-01-17 06:09:00,6
2019-01-17 06:10:00,5
2019-01-17 06:11:00,6
2019-01-17 06:12:00,5
2019-01-17 06:13:00,6
2019-01-17 06:14:00,6
2019-01-17 06:15:00,5
2019-01-17 06:16:00,6
2019-01-17 06:17:00,6
2019-01-17 06:18:00,5
2019-01-17 06:19:00,6
2019-01-17 06:20:00,6
2019-01-17 06:21:00,5
2019-01-17 06:22:00,6
2019-01-17 06:23:00,4
