18,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, nMgyPerCount_r, nMgyPerCount_i, nMgyPerCount_z FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.type=# AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-01-17 15:50:00,1
2019-01-17 16:56:00,1
2019-01-17 17:05:00,1
2019-01-17 17:10:00,1
2019-01-17 17:14:00,1
2019-01-17 17:15:00,1
2019-01-17 17:16:00,1
2019-01-17 17:17:00,1
2019-01-17 17:19:00,1
2019-01-17 17:21:00,1
2019-01-17 17:22:00,1
2019-01-17 17:26:00,1
2019-01-17 17:27:00,2
2019-01-17 17:29:00,2
2019-01-17 17:31:00,1
2019-01-17 17:32:00,1
