1860,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-08-21 05:23:00,1
2019-08-21 05:24:00,44
2019-08-21 05:25:00,49
2019-08-21 05:26:00,54
2019-08-21 05:27:00,56
2019-08-21 05:28:00,60
2019-08-21 05:29:00,74
2019-08-21 05:30:00,77
2019-08-21 05:31:00,75
2019-08-21 05:32:00,30
2019-08-21 07:18:00,9
2019-08-21 07:19:00,28
2019-08-21 07:20:00,76
2019-08-21 07:21:00,74
2019-08-21 07:22:00,79
2019-08-21 07:23:00,79
2019-08-21 07:24:00,73
2019-08-21 07:25:00,33
2019-08-21 07:32:00,5
2019-08-21 07:33:00,73
2019-08-21 07:34:00,81
2019-08-21 07:35:00,80
2019-08-21 07:36:00,80
2019-08-21 07:37:00,79
2019-08-21 07:38:00,53
2019-08-21 21:47:00,14
2019-08-21 21:48:00,81
2019-08-21 21:49:00,79
2019-08-21 21:50:00,75
2019-08-21 21:51:00,76
2019-08-21 21:52:00,80
2019-08-21 21:53:00,33
