32,select * from PhotozRF where objid=#
2019-08-21 01:15:00,1
2019-08-21 02:23:00,1
2019-08-21 02:26:00,1
2019-08-21 02:41:00,1
2019-08-21 02:57:00,1
2019-08-21 04:09:00,1
2019-08-21 04:16:00,1
2019-08-21 04:26:00,1
2019-08-21 04:31:00,3
2019-08-21 04:47:00,1
2019-08-21 05:13:00,1
2019-08-21 06:25:00,1
2019-08-21 06:42:00,5
2019-08-21 08:06:00,1
2019-08-21 08:37:00,1
2019-08-21 09:11:00,1
2019-08-21 10:17:00,1
2019-08-21 10:19:00,1
2019-08-21 10:52:00,1
2019-08-21 11:46:00,1
2019-08-21 12:20:00,1
2019-08-21 12:30:00,1
2019-08-21 19:02:00,1
2019-08-21 19:19:00,1
2019-08-21 22:01:00,1
2019-08-21 23:25:00,1
