3,"SELECT    p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,    s.specobjid, s.class, s.subclass, s.z as redshift into mydb.objects_betwixt from PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid"
2019-08-21 07:56:00,2
2019-08-21 07:57:00,1
