52,select count(*) as thecount
2019-08-21 10:22:00,1
2019-08-21 10:23:00,1
2019-08-21 10:59:00,3
2019-08-21 11:00:00,1
2019-08-21 11:26:00,1
2019-08-21 11:27:00,2
2019-08-21 11:45:00,3
2019-08-21 12:04:00,1
2019-08-21 12:05:00,1
2019-08-21 12:39:00,3
2019-08-21 12:51:00,1
2019-08-21 12:52:00,2
2019-08-21 12:56:00,1
2019-08-21 13:29:00,2
2019-08-21 13:30:00,1
2019-08-21 13:50:00,3
2019-08-21 14:12:00,2
2019-08-21 14:13:00,1
2019-08-21 14:29:00,3
2019-08-21 14:51:00,2
2019-08-21 15:10:00,1
2019-08-21 15:11:00,3
2019-08-21 15:35:00,3
2019-08-21 15:56:00,2
2019-08-21 16:13:00,1
2019-08-21 16:14:00,1
2019-08-21 16:33:00,1
2019-08-21 16:34:00,2
2019-08-21 19:25:00,1
2019-08-21 19:40:00,1
2019-08-21 20:04:00,1
