1946,"select p.ra, p.dec, p.type,p.insidemask,p.flags_g,p.flags_i,p.flags_r,p.cModelMag_u, p.cModelMagErr_u,p.cModelMag_g, p.cModelMagErr_g,p.cModelMag_r, p.cModelMagErr_r,p.cModelMag_i, p.cModelMagErr_i,p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq(#,#,#) r on p.ObjID = r.ObjID"
2019-08-21 05:15:00,12
2019-08-21 05:16:00,34
2019-08-21 05:17:00,58
2019-08-21 05:18:00,52
2019-08-21 05:19:00,65
2019-08-21 05:20:00,74
2019-08-21 05:21:00,79
2019-08-21 05:22:00,68
2019-08-21 05:23:00,35
2019-08-21 05:24:00,37
2019-08-21 05:25:00,18
2019-08-21 07:16:00,16
2019-08-21 07:17:00,73
2019-08-21 07:18:00,30
2019-08-21 07:19:00,49
2019-08-21 07:20:00,47
2019-08-21 07:21:00,60
2019-08-21 07:22:00,64
2019-08-21 07:23:00,64
2019-08-21 07:24:00,58
2019-08-21 07:25:00,43
2019-08-21 07:26:00,26
2019-08-21 07:31:00,51
2019-08-21 07:32:00,59
2019-08-21 07:33:00,35
2019-08-21 07:34:00,51
2019-08-21 07:35:00,50
2019-08-21 07:36:00,56
2019-08-21 07:37:00,55
2019-08-21 07:38:00,34
2019-08-21 07:39:00,40
2019-08-21 07:40:00,15
2019-08-21 21:01:00,103
2019-08-21 21:02:00,117
2019-08-21 21:03:00,129
2019-08-21 21:04:00,89
