13,"SELECT up_id,  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) as objId   FROM #upload  WHERE  dbo.fGetNearestObjIdEq( up_ra,up_dec,up_sep ) IS NOT NULL  SELECT TOP #   p.ra,p.dec, p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..PhotoObj AS p  JOIN #x AS x ON x.objID=p.objID  JOIN #upload AS u ON u.up_id = x.up_id   WHERE  ( p.type = # OR p.type = #)   ORDER BY x.up_id"
2019-08-21 06:43:00,1
2019-08-21 06:45:00,1
2019-08-21 06:46:00,1
2019-08-21 20:59:00,1
2019-08-21 21:00:00,1
2019-08-21 21:01:00,1
2019-08-21 21:02:00,1
2019-08-21 21:04:00,1
2019-08-21 21:05:00,2
2019-08-21 21:06:00,1
2019-08-21 21:09:00,2
