35,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-08-21 05:15:00,1
2019-08-21 06:06:00,3
2019-08-21 06:07:00,7
2019-08-21 08:46:00,1
2019-08-21 16:46:00,3
2019-08-21 16:47:00,1
2019-08-21 16:52:00,1
2019-08-21 18:52:00,2
2019-08-21 18:53:00,2
2019-08-21 18:54:00,1
2019-08-21 19:08:00,1
2019-08-21 19:26:00,1
2019-08-21 20:23:00,3
2019-08-21 20:24:00,3
2019-08-21 20:25:00,1
2019-08-21 20:42:00,1
2019-08-21 20:43:00,1
2019-08-21 20:58:00,1
2019-08-21 23:05:00,1
