2,"select count(*) as count from photoobj p, specobj s, dbo.fgetNearByObjEq(#,+#,#) n where p.objid=s.bestobjid and p.objid=n.objid and (s.class = &&&)"
2019-05-05 14:58:00,1
2019-05-05 14:59:00,1
