40,"SELECT p.objid, p.dered_u AS u, p.psfMagErr_u as u_err, p.dered_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-05-05 12:54:00,1
2019-05-05 13:02:00,2
2019-05-05 13:03:00,1
2019-05-05 13:04:00,1
2019-05-05 13:17:00,1
2019-05-05 13:18:00,3
2019-05-05 19:15:00,19
2019-05-05 19:16:00,2
2019-05-05 19:17:00,1
2019-05-05 19:21:00,1
2019-05-05 19:24:00,1
2019-05-05 19:29:00,1
2019-05-05 19:37:00,1
2019-05-05 19:42:00,1
2019-05-05 19:48:00,1
2019-05-05 19:53:00,1
2019-05-05 19:57:00,1
2019-05-05 20:02:00,1
