2984,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-05 12:32:00,26
2019-05-05 12:33:00,33
2019-05-05 12:38:00,2
2019-05-05 12:39:00,123
2019-05-05 12:40:00,69
2019-05-05 12:41:00,117
2019-05-05 12:44:00,283
2019-05-05 12:45:00,88
2019-05-05 12:46:00,53
2019-05-05 12:48:00,75
2019-05-05 12:49:00,55
2019-05-05 12:56:00,48
2019-05-05 12:57:00,47
2019-05-05 12:58:00,49
2019-05-05 13:00:00,65
2019-05-05 13:03:00,180
2019-05-05 13:08:00,102
2019-05-05 13:10:00,25
2019-05-05 13:14:00,45
2019-05-05 13:15:00,68
2019-05-05 13:18:00,58
2019-05-05 13:21:00,89
2019-05-05 13:23:00,33
2019-05-05 13:24:00,85
2019-05-05 13:26:00,49
2019-05-05 13:33:00,71
2019-05-05 13:34:00,40
2019-05-05 13:35:00,22
2019-05-05 13:36:00,71
2019-05-05 13:38:00,6
2019-05-05 13:39:00,30
2019-05-05 13:45:00,105
2019-05-05 13:46:00,81
2019-05-05 13:47:00,62
2019-05-05 13:48:00,64
2019-05-05 13:50:00,67
2019-05-05 13:51:00,19
2019-05-05 13:54:00,73
2019-05-05 14:01:00,13
2019-05-05 14:02:00,335
2019-05-05 14:09:00,58
