53,"SELECT TOP # gsi.z, gsl.oiii_#_flux, gsl.oiii_#_flux_err, gsl.nii_#_flux, gsl.nii_#_flux_err, gsl.h_alpha_flux, gsl.h_alpha_flux_err, gsl.h_beta_flux, gsl.h_beta_flux_err, p.objid, p.ra, p.dec, p.petror9#_r, p.dered_z, p.dered_r, p.dered_g   FROM Galaxy as p    JOIN galSpecLine AS gsl ON p.specobjid = gsl.specobjid    JOIN galSpecInfo AS gsi ON p.specobjid = gsi.specobjid WHERE   gsl.oiii_#_flux > # AND gsl.nii_#_flux > # AND gsl.h_alpha_flux > # AND gsl.h_beta_flux > # AND gsl.oiii_#_flux/gsl.oiii_#_flux_err > # AND gsl.nii_#_flux/gsl.nii_#_flux_err > #          AND gsl.h_alpha_flux/gsl.h_alpha_flux_err > # AND gsl.h_beta_flux/gsl.h_beta_flux_err > # AND gsi.z BETWEEN # AND #  AND gsl.h_alpha_flux/gsl.h_alpha_flux_err > # AND gsl.h_beta_flux/gsl.h_beta_flux_err > # AND gsi.z BETWEEN # AND # AND gsl.h_alpha_flux/gsl.h_alpha_flux_err > # AND gsl.h_beta_flux/gsl.h_beta_flux_err > # AND gsi.z BETWEEN # AND # AND p.dered_g-p.dered_r > #"
2019-05-05 13:08:00,3
2019-05-05 13:09:00,1
2019-05-05 13:14:00,2
2019-05-05 13:15:00,1
2019-05-05 13:16:00,1
2019-05-05 13:17:00,1
2019-05-05 13:31:00,1
2019-05-05 13:35:00,3
2019-05-05 13:36:00,2
2019-05-05 13:38:00,1
2019-05-05 13:40:00,1
2019-05-05 13:45:00,1
2019-05-05 13:48:00,1
2019-05-05 13:53:00,2
2019-05-05 13:54:00,1
2019-05-05 13:55:00,1
2019-05-05 13:56:00,1
2019-05-05 13:57:00,2
2019-05-05 13:58:00,2
2019-05-05 13:59:00,1
2019-05-05 14:00:00,4
2019-05-05 14:01:00,1
2019-05-05 14:02:00,2
2019-05-05 14:04:00,3
2019-05-05 14:05:00,4
2019-05-05 14:06:00,1
2019-05-05 14:07:00,1
2019-05-05 14:08:00,3
2019-05-05 14:09:00,2
2019-05-05 14:14:00,1
2019-05-05 14:29:00,1
2019-05-05 14:33:00,1
