6,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec  FROM ..SpecObj as s  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.z > .# AND s.z < # AND s.zWarning = #"
2019-10-24 15:52:00,1
2019-10-24 15:55:00,2
2019-10-24 15:56:00,3
