1491,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-10-24 10:08:00,6
2019-10-24 10:09:00,24
2019-10-24 10:10:00,25
2019-10-24 10:11:00,21
2019-10-24 10:12:00,21
2019-10-24 10:13:00,17
2019-10-24 10:14:00,13
2019-10-24 10:15:00,13
2019-10-24 10:16:00,12
2019-10-24 10:17:00,12
2019-10-24 10:18:00,10
2019-10-24 10:19:00,5
2019-10-24 10:20:00,4
2019-10-24 10:21:00,3
2019-10-24 10:22:00,4
2019-10-24 10:23:00,4
2019-10-24 10:24:00,3
2019-10-24 10:25:00,4
2019-10-24 10:26:00,6
2019-10-24 10:27:00,3
2019-10-24 10:28:00,4
2019-10-24 10:29:00,7
2019-10-24 10:30:00,7
2019-10-24 10:31:00,12
2019-10-24 10:32:00,14
2019-10-24 10:33:00,13
2019-10-24 10:34:00,17
2019-10-24 10:35:00,16
2019-10-24 10:36:00,13
2019-10-24 10:37:00,15
2019-10-24 10:38:00,14
2019-10-24 10:39:00,15
2019-10-24 10:40:00,14
2019-10-24 10:41:00,13
2019-10-24 10:42:00,15
2019-10-24 10:43:00,13
2019-10-24 10:44:00,14
2019-10-24 10:45:00,13
2019-10-24 10:46:00,14
2019-10-24 10:47:00,13
2019-10-24 10:48:00,12
2019-10-24 10:49:00,11
2019-10-24 10:50:00,11
2019-10-24 10:51:00,12
2019-10-24 10:52:00,13
2019-10-24 10:53:00,13
2019-10-24 10:54:00,13
2019-10-24 10:55:00,13
2019-10-24 10:56:00,13
2019-10-24 10:57:00,11
2019-10-24 10:58:00,12
2019-10-24 10:59:00,12
2019-10-24 11:00:00,11
2019-10-24 11:01:00,12
2019-10-24 11:02:00,12
2019-10-24 11:03:00,12
2019-10-24 11:04:00,10
2019-10-24 11:05:00,9
2019-10-24 11:06:00,10
2019-10-24 11:07:00,11
2019-10-24 11:08:00,10
2019-10-24 11:09:00,11
2019-10-24 11:10:00,10
2019-10-24 11:11:00,9
2019-10-24 11:12:00,5
2019-10-24 11:35:00,8
2019-10-24 11:36:00,31
2019-10-24 11:37:00,30
2019-10-24 11:38:00,14
2019-10-24 11:39:00,20
2019-10-24 11:40:00,26
2019-10-24 11:41:00,25
2019-10-24 11:42:00,14
2019-10-24 13:08:00,3
2019-10-24 13:09:00,21
2019-10-24 13:18:00,1
2019-10-24 13:19:00,23
2019-10-24 13:20:00,9
2019-10-24 13:21:00,26
2019-10-24 13:22:00,13
2019-10-24 13:25:00,9
2019-10-24 13:26:00,15
2019-10-24 13:27:00,11
2019-10-24 13:28:00,13
2019-10-24 13:39:00,17
2019-10-24 13:40:00,6
2019-10-24 13:45:00,1
2019-10-24 14:22:00,1
2019-10-24 14:38:00,1
2019-10-24 15:42:00,1
2019-10-24 17:08:00,13
2019-10-24 17:09:00,25
2019-10-24 17:10:00,10
2019-10-24 17:17:00,2
2019-10-24 17:18:00,29
2019-10-24 17:19:00,23
2019-10-24 17:20:00,18
2019-10-24 17:24:00,25
2019-10-24 17:25:00,20
2019-10-24 17:26:00,10
2019-10-24 17:27:00,12
2019-10-24 17:28:00,14
2019-10-24 17:29:00,12
2019-10-24 17:30:00,9
2019-10-24 17:31:00,13
2019-10-24 17:32:00,12
2019-10-24 17:33:00,12
2019-10-24 17:34:00,5
2019-10-24 17:37:00,10
2019-10-24 17:38:00,16
2019-10-24 17:39:00,22
2019-10-24 17:40:00,18
2019-10-24 17:41:00,19
2019-10-24 17:42:00,18
2019-10-24 17:43:00,19
2019-10-24 17:44:00,15
2019-10-24 17:45:00,7
