1114,"SELECT objID, ra, dec FROM Galaxy WHERE (ra between # and #) and (dec between # and #)"
2019-10-24 07:41:00,6
2019-10-24 07:42:00,55
2019-10-24 07:57:00,68
2019-10-24 07:58:00,58
2019-10-24 08:08:00,79
2019-10-24 14:02:00,4
2019-10-24 14:03:00,2
2019-10-24 14:06:00,1
2019-10-24 14:07:00,7
2019-10-24 14:08:00,2
2019-10-24 14:14:00,4
2019-10-24 16:14:00,21
2019-10-24 16:39:00,37
2019-10-24 16:48:00,46
2019-10-24 16:59:00,143
2019-10-24 17:07:00,91
2019-10-24 17:14:00,26
2019-10-24 17:25:00,28
2019-10-24 17:34:00,12
2019-10-24 17:35:00,13
2019-10-24 17:36:00,1
2019-10-24 17:45:00,34
2019-10-24 17:56:00,52
2019-10-24 18:28:00,24
2019-10-24 18:40:00,58
2019-10-24 18:51:00,36
2019-10-24 19:10:00,58
2019-10-24 19:16:00,19
2019-10-24 19:22:00,89
2019-10-24 19:27:00,40
