1041,"SELECT objID, ra, dec FROM Star WHERE (ra between # and #) and (dec between # and #)"
2019-10-24 07:41:00,7
2019-10-24 07:42:00,48
2019-10-24 07:57:00,52
2019-10-24 07:58:00,44
2019-10-24 08:08:00,75
2019-10-24 14:02:00,5
2019-10-24 14:03:00,1
2019-10-24 14:06:00,3
2019-10-24 14:07:00,3
2019-10-24 14:08:00,2
2019-10-24 14:14:00,2
2019-10-24 16:14:00,16
2019-10-24 16:39:00,37
2019-10-24 16:48:00,46
2019-10-24 16:59:00,125
2019-10-24 17:07:00,71
2019-10-24 17:14:00,28
2019-10-24 17:15:00,2
2019-10-24 17:25:00,28
2019-10-24 17:34:00,11
2019-10-24 17:35:00,12
2019-10-24 17:36:00,3
2019-10-24 17:45:00,44
2019-10-24 17:56:00,52
2019-10-24 18:28:00,24
2019-10-24 18:40:00,58
2019-10-24 18:51:00,30
2019-10-24 19:10:00,54
2019-10-24 19:16:00,23
2019-10-24 19:22:00,89
2019-10-24 19:27:00,46
