22,"select yy, mm, dd, hh, mi, ss,  logID, clientIP, requestor, server, dbname, access,  elapsed, busy, rows, statement, error, errorMessage, isvisible  into sqllogall2#_#_#h_to_#_#h  from sqllogall  where yy = #   and mm between # and #   and dd between # and #   and hh between # and #"
2019-10-24 10:05:00,1
2019-10-24 11:14:00,1
2019-10-24 11:23:00,1
2019-10-24 11:35:00,1
2019-10-24 11:48:00,1
2019-10-24 13:07:00,1
2019-10-24 13:08:00,1
2019-10-24 13:10:00,1
2019-10-24 13:17:00,1
2019-10-24 13:20:00,1
2019-10-24 13:24:00,1
2019-10-24 13:27:00,1
2019-10-24 13:38:00,1
2019-10-24 13:45:00,1
2019-10-24 14:21:00,1
2019-10-24 14:35:00,1
2019-10-24 14:38:00,1
2019-10-24 15:41:00,1
2019-10-24 17:08:00,1
2019-10-24 17:16:00,1
2019-10-24 17:23:00,1
2019-10-24 17:36:00,1
