227,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-10-24 02:04:00,5
2019-10-24 02:05:00,1
2019-10-24 02:10:00,2
2019-10-24 02:11:00,2
2019-10-24 02:12:00,2
2019-10-24 02:15:00,4
2019-10-24 02:16:00,2
2019-10-24 02:17:00,2
2019-10-24 02:18:00,4
2019-10-24 02:19:00,4
2019-10-24 02:20:00,2
2019-10-24 02:21:00,2
2019-10-24 02:22:00,2
2019-10-24 02:24:00,3
2019-10-24 02:25:00,1
2019-10-24 02:26:00,2
2019-10-24 02:27:00,4
2019-10-24 02:28:00,4
2019-10-24 02:29:00,4
2019-10-24 02:30:00,6
2019-10-24 02:31:00,4
2019-10-24 02:34:00,1
2019-10-24 02:35:00,1
2019-10-24 02:36:00,2
2019-10-24 02:37:00,1
2019-10-24 02:38:00,1
2019-10-24 02:39:00,4
2019-10-24 02:40:00,4
2019-10-24 02:41:00,2
2019-10-24 02:42:00,2
2019-10-24 02:43:00,4
2019-10-24 02:44:00,2
2019-10-24 02:46:00,2
2019-10-24 02:47:00,2
2019-10-24 02:49:00,2
2019-10-24 02:50:00,4
2019-10-24 02:52:00,2
2019-10-24 02:53:00,4
2019-10-24 02:54:00,4
2019-10-24 02:55:00,2
2019-10-24 02:57:00,2
2019-10-24 02:59:00,2
2019-10-24 03:00:00,2
2019-10-24 03:02:00,2
2019-10-24 03:03:00,6
2019-10-24 03:04:00,4
2019-10-24 03:05:00,4
2019-10-24 03:06:00,4
2019-10-24 03:07:00,4
2019-10-24 03:08:00,2
2019-10-24 03:10:00,2
2019-10-24 03:13:00,2
2019-10-24 03:14:00,2
2019-10-24 03:16:00,2
2019-10-24 03:17:00,2
2019-10-24 04:03:00,4
2019-10-24 04:06:00,2
2019-10-24 04:07:00,2
2019-10-24 04:13:00,2
2019-10-24 04:14:00,6
2019-10-24 04:15:00,4
2019-10-24 04:31:00,2
2019-10-24 04:34:00,2
2019-10-24 04:38:00,6
2019-10-24 04:39:00,2
2019-10-24 04:40:00,6
2019-10-24 04:41:00,2
2019-10-24 06:20:00,4
2019-10-24 06:21:00,4
2019-10-24 06:27:00,3
2019-10-24 06:28:00,1
2019-10-24 06:33:00,4
2019-10-24 16:01:00,3
2019-10-24 16:02:00,3
2019-10-24 20:54:00,1
2019-10-24 20:55:00,1
2019-10-24 20:56:00,1
2019-10-24 23:19:00,4
2019-10-24 23:20:00,2
2019-10-24 23:21:00,4
2019-10-24 23:22:00,2
