35,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-10-24 00:44:00,1
2019-10-24 03:27:00,1
2019-10-24 03:55:00,1
2019-10-24 04:40:00,1
2019-10-24 04:50:00,1
2019-10-24 05:09:00,1
2019-10-24 05:26:00,1
2019-10-24 06:38:00,1
2019-10-24 08:21:00,1
2019-10-24 08:41:00,1
2019-10-24 10:06:00,1
2019-10-24 11:08:00,2
2019-10-24 11:27:00,1
2019-10-24 12:55:00,7
2019-10-24 12:56:00,4
2019-10-24 13:20:00,1
2019-10-24 13:21:00,2
2019-10-24 15:09:00,1
2019-10-24 15:26:00,1
2019-10-24 16:38:00,1
2019-10-24 16:39:00,1
2019-10-24 16:43:00,2
2019-10-24 18:06:00,1
