3585,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-24 12:31:00,99
2019-10-24 12:32:00,189
2019-10-24 12:33:00,121
2019-10-24 12:34:00,70
2019-10-24 12:35:00,59
2019-10-24 12:36:00,2
2019-10-24 12:37:00,71
2019-10-24 12:38:00,72
2019-10-24 12:39:00,163
2019-10-24 12:40:00,64
2019-10-24 12:41:00,31
2019-10-24 12:42:00,157
2019-10-24 12:43:00,171
2019-10-24 12:44:00,227
2019-10-24 12:45:00,16
2019-10-24 12:46:00,74
2019-10-24 12:47:00,74
2019-10-24 12:48:00,12
2019-10-24 12:49:00,34
2019-10-24 12:50:00,42
2019-10-24 12:51:00,93
2019-10-24 12:52:00,15
2019-10-24 12:53:00,46
2019-10-24 12:54:00,39
2019-10-24 12:55:00,85
2019-10-24 12:56:00,161
2019-10-24 12:57:00,94
2019-10-24 12:58:00,114
2019-10-24 12:59:00,55
2019-10-24 13:00:00,285
2019-10-24 13:01:00,229
2019-10-24 13:02:00,83
2019-10-24 13:03:00,1
2019-10-24 13:04:00,9
2019-10-24 13:05:00,108
2019-10-24 13:06:00,138
2019-10-24 13:07:00,68
2019-10-24 13:08:00,36
2019-10-24 13:10:00,68
2019-10-24 13:11:00,109
2019-10-24 13:12:00,1
