2294,"select top # p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.clean = #   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-10-24 09:21:00,51
2019-10-24 09:22:00,36
2019-10-24 09:23:00,6
2019-10-24 09:25:00,162
2019-10-24 09:31:00,48
2019-10-24 09:32:00,8
2019-10-24 09:33:00,2
2019-10-24 09:34:00,2
2019-10-24 09:35:00,3
2019-10-24 09:36:00,9
2019-10-24 09:37:00,6
2019-10-24 09:38:00,2
2019-10-24 09:39:00,1
2019-10-24 09:40:00,1
2019-10-24 09:42:00,1
2019-10-24 09:43:00,2
2019-10-24 09:45:00,1
2019-10-24 09:51:00,2
2019-10-24 09:55:00,1
2019-10-24 09:57:00,3
2019-10-24 10:18:00,67
2019-10-24 10:19:00,45
2019-10-24 10:20:00,23
2019-10-24 10:21:00,20
2019-10-24 10:22:00,9
2019-10-24 10:23:00,13
2019-10-24 10:24:00,15
2019-10-24 10:25:00,26
2019-10-24 10:26:00,3
2019-10-24 10:27:00,3
2019-10-24 10:28:00,1
2019-10-24 10:30:00,2
2019-10-24 10:31:00,2
2019-10-24 10:34:00,10
2019-10-24 10:36:00,11
2019-10-24 10:37:00,4
2019-10-24 10:38:00,3
2019-10-24 10:39:00,114
2019-10-24 12:00:00,4
2019-10-24 12:05:00,4
2019-10-24 12:09:00,1
2019-10-24 12:10:00,109
2019-10-24 12:11:00,24
2019-10-24 12:12:00,11
2019-10-24 12:15:00,1
2019-10-24 12:16:00,4
2019-10-24 12:18:00,5
2019-10-24 12:19:00,14
2019-10-24 12:21:00,8
2019-10-24 12:22:00,1
2019-10-24 12:24:00,5
2019-10-24 12:25:00,1
2019-10-24 12:26:00,3
2019-10-24 12:27:00,3
2019-10-24 12:28:00,2
2019-10-24 12:30:00,7
2019-10-24 12:32:00,3
2019-10-24 12:33:00,6
2019-10-24 12:35:00,1
2019-10-24 12:37:00,3
2019-10-24 12:40:00,3
2019-10-24 12:41:00,2
2019-10-24 12:43:00,3
2019-10-24 12:45:00,17
2019-10-24 13:39:00,33
2019-10-24 13:40:00,47
2019-10-24 13:41:00,7
2019-10-24 13:42:00,11
2019-10-24 13:43:00,29
2019-10-24 13:44:00,26
2019-10-24 13:45:00,50
2019-10-24 13:46:00,16
2019-10-24 13:47:00,5
2019-10-24 14:06:00,2
2019-10-24 14:08:00,6
2019-10-24 14:10:00,12
2019-10-24 14:11:00,10
2019-10-24 14:13:00,8
2019-10-24 14:14:00,7
2019-10-24 14:15:00,1
2019-10-24 14:16:00,2
2019-10-24 14:17:00,6
2019-10-24 14:18:00,22
2019-10-24 14:19:00,20
2019-10-24 14:20:00,2
2019-10-24 15:33:00,2
2019-10-24 15:34:00,2
2019-10-24 15:35:00,2
2019-10-24 15:37:00,49
2019-10-24 15:38:00,71
2019-10-24 15:39:00,70
2019-10-24 15:40:00,5
2019-10-24 15:51:00,69
2019-10-24 15:52:00,30
2019-10-24 15:53:00,32
2019-10-24 15:54:00,3
2019-10-24 15:55:00,7
2019-10-24 15:56:00,6
2019-10-24 15:58:00,1
2019-10-24 15:59:00,2
2019-10-24 16:00:00,2
2019-10-24 16:12:00,2
2019-10-24 16:13:00,2
2019-10-24 16:15:00,4
2019-10-24 16:16:00,2
2019-10-24 16:17:00,1
2019-10-24 16:18:00,10
2019-10-24 16:19:00,2
2019-10-24 16:20:00,2
2019-10-24 16:21:00,1
2019-10-24 16:22:00,8
2019-10-24 16:23:00,15
2019-10-24 16:24:00,16
2019-10-24 16:58:00,6
2019-10-24 16:59:00,3
2019-10-24 17:01:00,5
2019-10-24 17:02:00,12
2019-10-24 17:03:00,1
2019-10-24 17:07:00,4
2019-10-24 17:08:00,6
2019-10-24 17:09:00,2
2019-10-24 17:14:00,76
2019-10-24 17:15:00,32
2019-10-24 17:16:00,6
2019-10-24 17:17:00,4
2019-10-24 17:18:00,11
2019-10-24 17:19:00,5
2019-10-24 17:20:00,8
2019-10-24 17:21:00,8
2019-10-24 17:22:00,2
2019-10-24 17:23:00,4
2019-10-24 17:25:00,2
2019-10-24 17:28:00,1
2019-10-24 17:30:00,1
2019-10-24 18:07:00,52
2019-10-24 18:08:00,48
2019-10-24 18:09:00,17
2019-10-24 18:10:00,10
2019-10-24 18:11:00,7
2019-10-24 18:13:00,4
2019-10-24 18:14:00,1
2019-10-24 18:15:00,4
2019-10-24 18:17:00,1
2019-10-24 18:20:00,2
2019-10-24 18:21:00,3
2019-10-24 18:23:00,4
2019-10-24 21:59:00,102
2019-10-24 22:00:00,74
2019-10-24 22:11:00,63
