25,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-05-09 10:42:00,1
2019-05-09 14:19:00,1
2019-05-09 14:26:00,2
2019-05-09 14:46:00,1
2019-05-09 14:56:00,1
2019-05-09 15:04:00,3
2019-05-09 15:05:00,1
2019-05-09 16:17:00,1
2019-05-09 16:50:00,1
2019-05-09 16:51:00,1
2019-05-09 16:56:00,1
2019-05-09 16:57:00,1
2019-05-09 17:12:00,1
2019-05-09 17:24:00,3
2019-05-09 17:25:00,2
2019-05-09 17:57:00,1
2019-05-09 18:48:00,1
2019-05-09 18:49:00,1
2019-05-09 23:22:00,1
