182,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-05-09 06:42:00,1
2019-05-09 06:48:00,1
2019-05-09 06:49:00,1
2019-05-09 06:55:00,1
2019-05-09 06:56:00,2
2019-05-09 07:06:00,2
2019-05-09 07:07:00,9
2019-05-09 07:08:00,6
2019-05-09 07:09:00,3
2019-05-09 07:51:00,3
2019-05-09 07:52:00,12
2019-05-09 07:53:00,13
2019-05-09 07:54:00,14
2019-05-09 07:55:00,13
2019-05-09 07:56:00,14
2019-05-09 07:57:00,13
2019-05-09 07:58:00,17
2019-05-09 07:59:00,16
2019-05-09 08:00:00,16
2019-05-09 08:38:00,3
2019-05-09 11:05:00,1
2019-05-09 11:11:00,1
2019-05-09 11:34:00,1
2019-05-09 11:40:00,1
2019-05-09 11:56:00,1
2019-05-09 13:28:00,1
2019-05-09 15:02:00,1
2019-05-09 15:41:00,2
2019-05-09 16:30:00,4
2019-05-09 18:46:00,8
2019-05-09 20:36:00,1
