43,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-05-09 04:40:00,1
2019-05-09 04:41:00,1
2019-05-09 04:44:00,1
2019-05-09 04:46:00,1
2019-05-09 04:48:00,1
2019-05-09 04:51:00,1
2019-05-09 04:52:00,1
2019-05-09 04:55:00,1
2019-05-09 04:57:00,1
2019-05-09 04:59:00,1
2019-05-09 05:01:00,1
2019-05-09 05:04:00,1
2019-05-09 05:06:00,1
2019-05-09 05:08:00,1
2019-05-09 05:11:00,1
2019-05-09 05:12:00,1
2019-05-09 05:14:00,1
2019-05-09 05:15:00,1
2019-05-09 05:17:00,1
2019-05-09 05:23:00,1
2019-05-09 05:24:00,1
2019-05-09 05:25:00,1
2019-05-09 05:27:00,1
2019-05-09 05:34:00,1
2019-05-09 05:35:00,2
2019-05-09 05:37:00,1
2019-05-09 06:06:00,1
2019-05-09 06:11:00,1
2019-05-09 06:16:00,1
2019-05-09 06:49:00,1
2019-05-09 06:54:00,1
2019-05-09 06:58:00,1
2019-05-09 23:30:00,1
2019-05-09 23:35:00,1
2019-05-09 23:40:00,1
2019-05-09 23:45:00,1
2019-05-09 23:47:00,1
2019-05-09 23:49:00,1
2019-05-09 23:51:00,1
2019-05-09 23:53:00,1
2019-05-09 23:55:00,1
2019-05-09 23:57:00,1
