19,"SELECT  TOP # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-05-09 00:32:00,1
2019-05-09 00:35:00,1
2019-05-09 00:46:00,1
2019-05-09 00:49:00,1
2019-05-09 10:38:00,1
2019-05-09 10:39:00,2
2019-05-09 10:41:00,1
2019-05-09 10:43:00,1
2019-05-09 10:44:00,1
2019-05-09 10:47:00,2
2019-05-09 13:39:00,1
2019-05-09 13:45:00,1
2019-05-09 14:08:00,2
2019-05-09 14:12:00,1
2019-05-09 14:14:00,1
2019-05-09 18:59:00,1
