67,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-05-09 19:35:00,1
2019-05-09 19:41:00,1
2019-05-09 19:44:00,1
2019-05-09 19:49:00,1
2019-05-09 19:59:00,1
2019-05-09 20:13:00,1
2019-05-09 20:21:00,1
2019-05-09 20:52:00,1
2019-05-09 20:54:00,1
2019-05-09 20:55:00,1
2019-05-09 20:57:00,1
2019-05-09 20:59:00,2
2019-05-09 21:02:00,1
2019-05-09 21:03:00,1
2019-05-09 21:05:00,1
2019-05-09 21:06:00,1
2019-05-09 21:12:00,1
2019-05-09 21:14:00,2
2019-05-09 21:15:00,3
2019-05-09 21:16:00,3
2019-05-09 21:17:00,1
2019-05-09 21:20:00,2
2019-05-09 21:21:00,2
2019-05-09 21:22:00,5
2019-05-09 21:23:00,1
2019-05-09 22:03:00,1
2019-05-09 22:04:00,1
2019-05-09 22:06:00,1
2019-05-09 22:08:00,2
2019-05-09 22:10:00,1
2019-05-09 22:11:00,1
2019-05-09 22:12:00,3
2019-05-09 22:14:00,3
2019-05-09 22:15:00,1
2019-05-09 22:16:00,4
2019-05-09 22:17:00,5
2019-05-09 22:18:00,4
2019-05-09 22:19:00,3
