12,"SELECT  TOP # &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-05-09 00:33:00,1
2019-05-09 10:46:00,1
2019-05-09 10:48:00,1
2019-05-09 10:49:00,2
2019-05-09 11:07:00,1
2019-05-09 11:08:00,1
2019-05-09 11:09:00,1
2019-05-09 11:17:00,1
2019-05-09 14:55:00,1
2019-05-09 15:09:00,1
2019-05-09 15:11:00,1
