22,"SELECT  TOP # p.apstar_id,     p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-05-09 00:32:00,1
2019-05-09 00:35:00,1
2019-05-09 00:46:00,1
2019-05-09 00:49:00,1
2019-05-09 10:38:00,1
2019-05-09 10:39:00,2
2019-05-09 10:41:00,1
2019-05-09 10:43:00,1
2019-05-09 10:44:00,1
2019-05-09 10:47:00,2
2019-05-09 13:39:00,3
2019-05-09 13:40:00,1
2019-05-09 13:45:00,1
2019-05-09 14:08:00,2
2019-05-09 14:12:00,1
2019-05-09 14:14:00,1
2019-05-09 18:59:00,1
