7,"SELECT TOP # z, ra, dec     FROM SpecObj     WHERE abs(z-#)<#"
2019-05-09 07:35:00,1
2019-05-09 07:36:00,1
2019-05-09 07:37:00,2
2019-05-09 07:38:00,3
