16,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-05-09 09:31:00,1
2019-05-09 13:30:00,1
2019-05-09 14:21:00,1
2019-05-09 14:43:00,1
2019-05-09 14:45:00,1
2019-05-09 17:33:00,1
2019-05-09 17:34:00,1
2019-05-09 17:36:00,1
2019-05-09 17:42:00,1
2019-05-09 17:44:00,2
2019-05-09 18:23:00,1
2019-05-09 18:26:00,1
2019-05-09 18:27:00,1
2019-05-09 19:11:00,1
2019-05-09 21:30:00,1
