468,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-21 04:51:00,1
2019-02-21 04:54:00,2
2019-02-21 04:56:00,1
2019-02-21 04:57:00,2
2019-02-21 04:58:00,2
2019-02-21 04:59:00,1
2019-02-21 05:00:00,2
2019-02-21 05:01:00,1
2019-02-21 05:02:00,1
2019-02-21 05:03:00,1
2019-02-21 05:05:00,3
2019-02-21 05:06:00,1
2019-02-21 05:07:00,1
2019-02-21 05:08:00,2
2019-02-21 05:09:00,1
2019-02-21 05:10:00,1
2019-02-21 05:11:00,3
2019-02-21 05:12:00,1
2019-02-21 05:13:00,3
2019-02-21 05:14:00,1
2019-02-21 05:15:00,1
2019-02-21 05:16:00,2
2019-02-21 05:17:00,1
2019-02-21 05:18:00,1
2019-02-21 05:20:00,2
2019-02-21 05:21:00,2
2019-02-21 05:22:00,3
2019-02-21 05:23:00,8
2019-02-21 05:24:00,14
2019-02-21 05:25:00,11
2019-02-21 05:26:00,4
2019-02-21 05:27:00,3
2019-02-21 05:29:00,4
2019-02-21 05:32:00,3
2019-02-21 05:34:00,6
2019-02-21 05:35:00,5
2019-02-21 05:36:00,2
2019-02-21 05:37:00,1
2019-02-21 05:39:00,6
2019-02-21 05:40:00,2
2019-02-21 05:41:00,1
2019-02-21 05:42:00,1
2019-02-21 05:46:00,1
2019-02-21 05:47:00,8
2019-02-21 05:49:00,3
2019-02-21 05:50:00,2
2019-02-21 05:52:00,1
2019-02-21 05:53:00,2
2019-02-21 05:56:00,7
2019-02-21 05:57:00,2
2019-02-21 05:58:00,13
2019-02-21 06:00:00,1
2019-02-21 06:02:00,12
2019-02-21 06:07:00,2
2019-02-21 06:11:00,1
2019-02-21 06:17:00,2
2019-02-21 06:18:00,1
2019-02-21 06:19:00,2
2019-02-21 06:22:00,2
2019-02-21 06:23:00,1
2019-02-21 06:25:00,1
2019-02-21 06:26:00,1
2019-02-21 06:27:00,1
2019-02-21 06:29:00,1
2019-02-21 06:30:00,2
2019-02-21 06:31:00,1
2019-02-21 06:32:00,1
2019-02-21 06:33:00,1
2019-02-21 06:35:00,1
2019-02-21 06:37:00,1
2019-02-21 06:39:00,1
2019-02-21 06:42:00,1
2019-02-21 06:44:00,1
2019-02-21 06:48:00,1
2019-02-21 06:50:00,2
2019-02-21 06:51:00,1
2019-02-21 06:55:00,1
2019-02-21 06:56:00,1
2019-02-21 06:57:00,1
2019-02-21 07:00:00,2
2019-02-21 07:01:00,1
2019-02-21 07:04:00,1
2019-02-21 07:05:00,1
2019-02-21 07:06:00,1
2019-02-21 07:09:00,1
2019-02-21 07:10:00,1
2019-02-21 07:11:00,1
2019-02-21 07:12:00,1
2019-02-21 07:14:00,2
2019-02-21 07:18:00,1
2019-02-21 07:19:00,2
2019-02-21 07:21:00,1
2019-02-21 07:22:00,1
2019-02-21 07:24:00,2
2019-02-21 07:25:00,1
2019-02-21 07:27:00,1
2019-02-21 07:30:00,1
2019-02-21 07:31:00,1
2019-02-21 07:34:00,1
2019-02-21 07:39:00,1
2019-02-21 07:41:00,1
2019-02-21 07:44:00,1
2019-02-21 07:47:00,1
2019-02-21 07:50:00,1
2019-02-21 07:51:00,1
2019-02-21 07:52:00,1
2019-02-21 07:53:00,1
2019-02-21 07:56:00,1
2019-02-21 08:00:00,2
2019-02-21 08:01:00,1
2019-02-21 08:04:00,1
2019-02-21 08:08:00,1
2019-02-21 08:12:00,1
2019-02-21 08:15:00,1
2019-02-21 08:17:00,2
2019-02-21 08:19:00,3
2019-02-21 08:20:00,1
2019-02-21 08:21:00,1
2019-02-21 08:22:00,1
2019-02-21 08:24:00,1
2019-02-21 08:26:00,1
2019-02-21 08:28:00,1
2019-02-21 08:29:00,2
2019-02-21 08:31:00,2
2019-02-21 08:35:00,1
2019-02-21 08:37:00,1
2019-02-21 08:40:00,1
2019-02-21 08:41:00,1
2019-02-21 08:45:00,1
2019-02-21 08:46:00,1
2019-02-21 08:47:00,1
2019-02-21 08:48:00,1
2019-02-21 08:49:00,1
2019-02-21 08:50:00,1
2019-02-21 08:51:00,1
2019-02-21 08:54:00,1
2019-02-21 08:55:00,1
2019-02-21 09:01:00,2
2019-02-21 09:02:00,1
2019-02-21 09:04:00,1
2019-02-21 09:06:00,1
2019-02-21 09:07:00,1
2019-02-21 09:10:00,2
