978,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-21 15:46:00,43
2019-02-21 15:47:00,38
2019-02-21 15:48:00,20
2019-02-21 15:49:00,14
2019-02-21 15:50:00,23
2019-02-21 15:51:00,16
2019-02-21 15:52:00,20
2019-02-21 15:53:00,43
2019-02-21 15:54:00,40
2019-02-21 15:55:00,44
2019-02-21 15:56:00,47
2019-02-21 15:57:00,44
2019-02-21 15:58:00,34
2019-02-21 15:59:00,22
2019-02-21 16:00:00,32
2019-02-21 16:01:00,39
2019-02-21 16:02:00,31
2019-02-21 16:03:00,18
2019-02-21 16:04:00,13
2019-02-21 16:05:00,31
2019-02-21 16:06:00,45
2019-02-21 16:07:00,34
2019-02-21 16:08:00,25
2019-02-21 16:09:00,23
2019-02-21 16:10:00,19
2019-02-21 16:11:00,18
2019-02-21 16:12:00,60
2019-02-21 16:13:00,58
2019-02-21 16:14:00,65
2019-02-21 16:15:00,19
