8352,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-02-21 13:14:00,11
2019-02-21 13:15:00,50
2019-02-21 13:16:00,45
2019-02-21 13:17:00,46
2019-02-21 13:18:00,1
2019-02-21 13:20:00,38
2019-02-21 13:21:00,50
2019-02-21 13:22:00,53
2019-02-21 13:23:00,9
2019-02-21 13:24:00,24
2019-02-21 13:25:00,53
2019-02-21 13:26:00,49
2019-02-21 13:27:00,37
2019-02-21 13:28:00,56
2019-02-21 13:29:00,53
2019-02-21 13:30:00,44
2019-02-21 13:31:00,40
2019-02-21 13:32:00,42
2019-02-21 13:33:00,44
2019-02-21 13:34:00,29
2019-02-21 13:35:00,54
2019-02-21 13:36:00,44
2019-02-21 13:37:00,47
2019-02-21 13:38:00,44
2019-02-21 13:39:00,46
2019-02-21 13:40:00,27
2019-02-21 16:43:00,1
2019-02-21 16:44:00,6
2019-02-21 16:45:00,13
2019-02-21 16:56:00,19
2019-02-21 16:57:00,29
2019-02-21 17:13:00,4
2019-02-21 17:14:00,5
2019-02-21 17:15:00,47
2019-02-21 17:16:00,44
2019-02-21 17:17:00,40
2019-02-21 17:18:00,27
2019-02-21 17:19:00,34
2019-02-21 17:20:00,48
2019-02-21 17:21:00,47
2019-02-21 17:22:00,44
2019-02-21 17:23:00,36
2019-02-21 17:24:00,39
2019-02-21 17:25:00,37
2019-02-21 17:26:00,38
2019-02-21 17:27:00,34
2019-02-21 17:28:00,43
2019-02-21 17:29:00,40
2019-02-21 17:30:00,41
2019-02-21 17:31:00,38
2019-02-21 17:32:00,46
2019-02-21 17:37:00,20
2019-02-21 17:38:00,43
2019-02-21 17:39:00,43
2019-02-21 17:40:00,39
2019-02-21 17:41:00,32
2019-02-21 17:42:00,39
2019-02-21 17:43:00,39
2019-02-21 17:44:00,42
2019-02-21 17:45:00,3
2019-02-21 17:57:00,45
2019-02-21 17:58:00,50
2019-02-21 17:59:00,47
2019-02-21 18:00:00,45
2019-02-21 18:01:00,41
2019-02-21 18:02:00,39
2019-02-21 18:03:00,36
2019-02-21 18:04:00,42
2019-02-21 18:05:00,42
2019-02-21 18:06:00,41
2019-02-21 18:07:00,38
2019-02-21 18:08:00,40
2019-02-21 18:09:00,41
2019-02-21 18:10:00,44
2019-02-21 18:11:00,41
2019-02-21 18:12:00,42
2019-02-21 18:13:00,42
2019-02-21 18:14:00,41
2019-02-21 18:15:00,42
2019-02-21 18:16:00,34
2019-02-21 18:17:00,40
2019-02-21 18:18:00,39
2019-02-21 18:19:00,40
