19,select * from stellarMassFSPSGranWideNoDust where specObjId=#
2019-02-21 01:39:00,1
2019-02-21 02:32:00,1
2019-02-21 04:53:00,1
2019-02-21 06:50:00,1
2019-02-21 07:38:00,1
2019-02-21 08:13:00,1
2019-02-21 08:17:00,1
2019-02-21 08:58:00,1
2019-02-21 12:44:00,1
2019-02-21 14:09:00,1
2019-02-21 14:50:00,1
2019-02-21 15:19:00,1
2019-02-21 16:44:00,1
2019-02-21 19:10:00,1
2019-02-21 19:13:00,1
2019-02-21 19:51:00,1
2019-02-21 21:45:00,1
2019-02-21 22:05:00,1
2019-02-21 23:48:00,1
