3018,select logMass
2019-02-21 16:17:00,1
2019-02-21 16:26:00,2
2019-02-21 16:27:00,1
2019-02-21 16:31:00,1
2019-02-21 16:33:00,1
2019-02-21 16:35:00,2
2019-02-21 16:45:00,1
2019-02-21 16:48:00,1
2019-02-21 17:14:00,3
2019-02-21 17:15:00,34
2019-02-21 17:16:00,42
2019-02-21 17:17:00,41
2019-02-21 17:18:00,25
2019-02-21 17:19:00,36
2019-02-21 17:20:00,47
2019-02-21 17:21:00,47
2019-02-21 17:22:00,43
2019-02-21 17:23:00,37
2019-02-21 17:24:00,38
2019-02-21 17:25:00,38
2019-02-21 17:26:00,37
2019-02-21 17:27:00,34
2019-02-21 17:28:00,43
2019-02-21 17:29:00,40
2019-02-21 17:30:00,42
2019-02-21 17:31:00,38
2019-02-21 17:32:00,35
2019-02-21 17:37:00,8
2019-02-21 17:38:00,38
2019-02-21 17:39:00,40
2019-02-21 17:40:00,39
2019-02-21 17:41:00,30
2019-02-21 17:42:00,40
2019-02-21 17:43:00,38
2019-02-21 17:44:00,43
2019-02-21 17:45:00,3
2019-02-21 17:57:00,30
2019-02-21 17:58:00,38
2019-02-21 17:59:00,43
2019-02-21 18:00:00,44
2019-02-21 18:01:00,41
2019-02-21 18:02:00,37
2019-02-21 18:03:00,36
2019-02-21 18:04:00,40
2019-02-21 18:05:00,42
2019-02-21 18:06:00,41
2019-02-21 18:07:00,37
2019-02-21 18:08:00,40
2019-02-21 18:09:00,41
2019-02-21 18:10:00,43
2019-02-21 18:11:00,41
2019-02-21 18:12:00,43
2019-02-21 18:13:00,42
2019-02-21 18:14:00,41
2019-02-21 18:15:00,41
2019-02-21 18:16:00,35
2019-02-21 18:17:00,40
2019-02-21 18:18:00,39
2019-02-21 18:19:00,39
2019-02-21 18:20:00,37
2019-02-21 18:21:00,34
2019-02-21 18:22:00,39
2019-02-21 18:23:00,42
2019-02-21 18:24:00,25
2019-02-21 18:25:00,45
2019-02-21 18:26:00,36
2019-02-21 18:27:00,42
2019-02-21 18:28:00,42
2019-02-21 18:29:00,45
2019-02-21 18:30:00,47
2019-02-21 18:31:00,3
2019-02-21 18:36:00,5
2019-02-21 18:37:00,35
2019-02-21 18:38:00,44
2019-02-21 18:39:00,41
2019-02-21 18:40:00,44
2019-02-21 18:41:00,37
2019-02-21 18:42:00,40
2019-02-21 18:43:00,39
2019-02-21 18:44:00,39
2019-02-21 18:45:00,42
2019-02-21 18:46:00,40
2019-02-21 18:47:00,41
2019-02-21 18:48:00,42
2019-02-21 18:49:00,35
2019-02-21 18:50:00,45
2019-02-21 18:51:00,45
2019-02-21 18:52:00,42
2019-02-21 18:53:00,22
