92,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, p.dered_g, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger   FROM Galaxy as p    JOIN ZooNoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean=# and zns.nvote >= # and zns.p_cw > #"
2019-02-21 12:17:00,3
2019-02-21 12:18:00,1
2019-02-21 12:25:00,1
2019-02-21 12:36:00,1
2019-02-21 14:01:00,1
2019-02-21 14:30:00,1
2019-02-21 15:51:00,1
2019-02-21 15:55:00,1
2019-02-21 16:12:00,1
2019-02-21 16:16:00,1
2019-02-21 16:18:00,1
2019-02-21 16:20:00,1
2019-02-21 16:23:00,1
2019-02-21 16:24:00,2
2019-02-21 16:25:00,2
2019-02-21 16:26:00,3
2019-02-21 16:27:00,1
2019-02-21 16:28:00,2
2019-02-21 16:30:00,1
2019-02-21 16:31:00,3
2019-02-21 16:33:00,1
2019-02-21 16:36:00,1
2019-02-21 16:37:00,1
2019-02-21 16:38:00,1
2019-02-21 16:41:00,1
2019-02-21 16:42:00,2
2019-02-21 16:43:00,2
2019-02-21 16:44:00,1
2019-02-21 16:45:00,1
2019-02-21 16:47:00,5
2019-02-21 16:56:00,3
2019-02-21 16:57:00,3
2019-02-21 16:58:00,7
2019-02-21 16:59:00,3
2019-02-21 17:04:00,3
2019-02-21 17:08:00,3
2019-02-21 17:09:00,1
2019-02-21 17:12:00,1
2019-02-21 17:17:00,2
2019-02-21 17:20:00,2
2019-02-21 17:21:00,1
2019-02-21 17:22:00,1
2019-02-21 17:23:00,2
2019-02-21 17:25:00,2
2019-02-21 17:26:00,8
2019-02-21 17:27:00,3
2019-02-21 17:38:00,1
2019-02-21 17:42:00,1
