36,"SELECT TOP # p.objid, p.ra,p.dec,p.petror9#_r, p.dered_g, dered_r, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger   FROM Galaxy as p    JOIN ZoonoSpec AS zns ON p.objid = zns.objid    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean=# and zns.nvote >= # and zns.p_cw > #"
2019-02-21 16:53:00,1
2019-02-21 16:54:00,2
2019-02-21 16:55:00,4
2019-02-21 16:56:00,1
2019-02-21 16:57:00,1
2019-02-21 17:00:00,2
2019-02-21 17:01:00,4
2019-02-21 17:02:00,2
2019-02-21 17:03:00,4
2019-02-21 17:04:00,3
2019-02-21 17:05:00,1
2019-02-21 17:06:00,3
2019-02-21 17:09:00,1
2019-02-21 17:10:00,1
2019-02-21 17:12:00,1
2019-02-21 17:13:00,1
2019-02-21 17:14:00,2
2019-02-21 17:19:00,2
