71,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-02-21 04:40:00,1
2019-02-21 04:42:00,1
2019-02-21 04:43:00,1
2019-02-21 04:46:00,1
2019-02-21 04:47:00,1
2019-02-21 04:50:00,1
2019-02-21 04:53:00,1
2019-02-21 04:56:00,1
2019-02-21 04:57:00,1
2019-02-21 04:58:00,1
2019-02-21 05:37:00,1
2019-02-21 05:38:00,1
2019-02-21 05:42:00,1
2019-02-21 05:46:00,1
2019-02-21 05:49:00,1
2019-02-21 05:51:00,1
2019-02-21 05:53:00,1
2019-02-21 05:57:00,1
2019-02-21 06:04:00,1
2019-02-21 06:08:00,1
2019-02-21 06:12:00,1
2019-02-21 06:18:00,1
2019-02-21 06:19:00,1
2019-02-21 06:24:00,1
2019-02-21 06:27:00,1
2019-02-21 06:28:00,1
2019-02-21 06:30:00,1
2019-02-21 06:31:00,1
2019-02-21 06:35:00,1
2019-02-21 06:37:00,1
2019-02-21 06:40:00,1
2019-02-21 06:44:00,1
2019-02-21 06:48:00,1
2019-02-21 06:55:00,1
2019-02-21 06:58:00,1
2019-02-21 07:02:00,1
2019-02-21 07:08:00,1
2019-02-21 07:15:00,1
2019-02-21 07:17:00,1
2019-02-21 07:29:00,1
2019-02-21 07:35:00,1
2019-02-21 07:38:00,1
2019-02-21 07:39:00,1
2019-02-21 07:42:00,1
2019-02-21 07:48:00,1
2019-02-21 07:53:00,1
2019-02-21 07:56:00,1
2019-02-21 07:59:00,1
2019-02-21 08:02:00,1
2019-02-21 08:04:00,1
2019-02-21 08:10:00,1
2019-02-21 08:13:00,1
2019-02-21 08:21:00,1
2019-02-21 08:29:00,1
2019-02-21 08:32:00,1
2019-02-21 08:40:00,1
2019-02-21 08:43:00,1
2019-02-21 08:45:00,1
2019-02-21 08:48:00,1
2019-02-21 08:52:00,1
2019-02-21 08:54:00,1
2019-02-21 08:57:00,1
2019-02-21 09:03:00,1
2019-02-21 09:10:00,1
2019-02-21 09:16:00,1
2019-02-21 09:31:00,1
2019-02-21 09:32:00,1
2019-02-21 09:35:00,1
2019-02-21 09:48:00,1
2019-02-21 10:38:00,1
2019-02-21 11:47:00,1
