466,"select psf2GSigma1_u, psf2GSigma1_g, psf2GSigma1_r, psf2GSigma1_i, psf2GSigma1_z, psf2GSigma2_u, psf2GSigma2_g, psf2GSigma2_r, psf2GSigma2_i, psf2GSigma2_z, psf2GB_u, psf2GB_g,psf2GB_r, psf2GB_i, psf2GB_z, psfWidth_u, psfWidth_g, psfWidth_r, psfWidth_i, psfWidth_z from Field where run = # and rerun = # and camcol = # and field = #"
2019-02-21 13:52:00,1
2019-02-21 15:19:00,1
2019-02-21 15:30:00,2
2019-02-21 15:34:00,1
2019-02-21 15:36:00,1
2019-02-21 15:38:00,1
2019-02-21 15:39:00,1
2019-02-21 18:14:00,15
2019-02-21 18:26:00,10
2019-02-21 18:44:00,15
2019-02-21 18:45:00,7
2019-02-21 18:46:00,11
2019-02-21 18:47:00,15
2019-02-21 18:48:00,11
2019-02-21 18:49:00,11
2019-02-21 18:50:00,29
2019-02-21 18:51:00,20
2019-02-21 18:52:00,20
2019-02-21 18:53:00,20
2019-02-21 18:54:00,25
2019-02-21 18:55:00,20
2019-02-21 18:56:00,28
2019-02-21 18:57:00,17
2019-02-21 18:58:00,20
2019-02-21 18:59:00,19
2019-02-21 19:00:00,24
2019-02-21 19:01:00,14
2019-02-21 19:02:00,21
2019-02-21 19:03:00,15
2019-02-21 19:04:00,8
2019-02-21 19:05:00,9
2019-02-21 19:06:00,12
2019-02-21 19:07:00,7
2019-02-21 19:08:00,12
2019-02-21 19:09:00,11
2019-02-21 19:10:00,9
2019-02-21 19:11:00,3
