76,"SELECT count(G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between # and # AND G.dec between # and # AND S.class = &&& AND S.zWarning = # AND G.PetroMag_u > # AND S.z between .# and .#"
2019-02-21 20:56:00,1
2019-02-21 20:57:00,2
2019-02-21 20:58:00,2
2019-02-21 20:59:00,1
2019-02-21 21:00:00,3
2019-02-21 21:01:00,1
2019-02-21 21:02:00,2
2019-02-21 21:03:00,1
2019-02-21 21:04:00,1
2019-02-21 21:05:00,2
2019-02-21 21:06:00,2
2019-02-21 21:07:00,1
2019-02-21 21:08:00,3
2019-02-21 21:09:00,2
2019-02-21 21:10:00,2
2019-02-21 21:11:00,2
2019-02-21 21:12:00,2
2019-02-21 21:13:00,3
2019-02-21 21:14:00,2
2019-02-21 21:23:00,3
2019-02-21 21:24:00,1
2019-02-21 21:33:00,1
2019-02-21 21:34:00,2
2019-02-21 21:35:00,1
2019-02-21 21:36:00,2
2019-02-21 21:37:00,2
2019-02-21 21:38:00,1
2019-02-21 21:39:00,3
2019-02-21 21:40:00,2
2019-02-21 21:41:00,2
2019-02-21 21:42:00,2
2019-02-21 21:43:00,2
2019-02-21 21:44:00,2
2019-02-21 21:45:00,2
2019-02-21 21:46:00,3
2019-02-21 21:47:00,2
2019-02-21 21:48:00,1
2019-02-21 21:49:00,2
2019-02-21 21:50:00,2
2019-02-21 21:51:00,3
