20,select * from stellarMassFSPSGranEarlyNoDust where specObjId=#
2019-02-21 00:20:00,1
2019-02-21 01:57:00,1
2019-02-21 04:42:00,1
2019-02-21 04:52:00,1
2019-02-21 06:54:00,1
2019-02-21 07:58:00,1
2019-02-21 08:24:00,1
2019-02-21 12:12:00,1
2019-02-21 13:34:00,1
2019-02-21 13:44:00,1
2019-02-21 14:29:00,1
2019-02-21 15:05:00,1
2019-02-21 16:32:00,1
2019-02-21 18:08:00,1
2019-02-21 18:17:00,1
2019-02-21 19:41:00,1
2019-02-21 19:55:00,1
2019-02-21 20:36:00,1
2019-02-21 21:01:00,1
2019-02-21 22:50:00,1
