45,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-02-21 00:01:00,1
2019-02-21 00:02:00,2
2019-02-21 00:03:00,3
2019-02-21 00:04:00,1
2019-02-21 00:05:00,1
2019-02-21 00:24:00,1
2019-02-21 00:25:00,2
2019-02-21 00:38:00,1
2019-02-21 00:41:00,1
2019-02-21 00:52:00,1
2019-02-21 01:16:00,1
2019-02-21 01:24:00,1
2019-02-21 01:26:00,1
2019-02-21 01:27:00,1
2019-02-21 01:29:00,1
2019-02-21 01:30:00,1
2019-02-21 01:32:00,1
2019-02-21 01:40:00,1
2019-02-21 01:41:00,3
2019-02-21 01:43:00,1
2019-02-21 01:47:00,1
2019-02-21 01:48:00,1
2019-02-21 01:50:00,1
2019-02-21 01:52:00,1
2019-02-21 02:02:00,1
2019-02-21 14:44:00,2
2019-02-21 14:45:00,4
2019-02-21 14:46:00,3
2019-02-21 22:01:00,2
2019-02-21 22:02:00,1
2019-02-21 22:03:00,1
2019-02-21 22:05:00,1
