15,"SELECT TOP # ra, dec FROM PhotoObj WHERE ra BETWEEN # AND #  AND dec >= #  AND dec < #"
2019-05-14 16:20:00,3
2019-05-14 16:21:00,5
2019-05-14 16:22:00,2
2019-05-14 16:23:00,4
2019-05-14 16:28:00,1
