57,"SELECT  s.objid,sz.ra as ra,sz.dec as dec,pz.z as photoz,pz.zerr as photozerr,sz.z as specz, sz.zerr as speczerr,b.distance as proj_sep,s.modelMag_u as umag,s.modelMagErr_u as umagerr, s.modelMag_g as gmag,s.modelMagErr_g as gmagerr,s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type  FROM BESTDR1#..PhotoObjAll as s  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = S.objID  JOIN Photoz as pz ON pz.objid = s.objid  JOIN specObjAll as sz ON sz.bestobjid = s.objid  WHERE (s.type=# and sz.z > # and sz.z < #)"
2019-05-14 01:14:00,1
2019-05-14 18:19:00,2
2019-05-14 18:20:00,3
2019-05-14 18:21:00,1
2019-05-14 18:22:00,1
2019-05-14 18:23:00,1
2019-05-14 18:32:00,2
2019-05-14 18:33:00,2
2019-05-14 18:34:00,2
2019-05-14 18:35:00,2
2019-05-14 18:36:00,3
2019-05-14 18:37:00,2
2019-05-14 18:38:00,2
2019-05-14 18:39:00,3
2019-05-14 18:41:00,3
2019-05-14 18:42:00,2
2019-05-14 18:43:00,1
2019-05-14 18:44:00,2
2019-05-14 18:45:00,1
2019-05-14 18:46:00,1
2019-05-14 18:47:00,2
2019-05-14 18:48:00,1
2019-05-14 18:49:00,2
2019-05-14 18:50:00,1
2019-05-14 18:51:00,1
2019-05-14 18:52:00,1
2019-05-14 19:13:00,1
2019-05-14 19:14:00,1
2019-05-14 19:15:00,2
2019-05-14 19:16:00,2
2019-05-14 19:17:00,2
2019-05-14 19:18:00,1
2019-05-14 19:19:00,2
2019-05-14 19:20:00,1
