221,select * from galSpecLine where specObjId=#
2019-05-14 00:04:00,1
2019-05-14 00:05:00,21
2019-05-14 00:06:00,36
2019-05-14 00:07:00,15
2019-05-14 01:49:00,1
2019-05-14 03:29:00,1
2019-05-14 04:19:00,1
2019-05-14 04:33:00,1
2019-05-14 07:11:00,1
2019-05-14 07:23:00,1
2019-05-14 07:25:00,1
2019-05-14 08:37:00,3
2019-05-14 09:15:00,1
2019-05-14 10:37:00,1
2019-05-14 12:30:00,4
2019-05-14 12:32:00,4
2019-05-14 13:49:00,1
2019-05-14 14:11:00,14
2019-05-14 15:50:00,1
2019-05-14 16:10:00,2
2019-05-14 16:11:00,23
2019-05-14 16:12:00,9
2019-05-14 19:50:00,1
2019-05-14 20:01:00,10
2019-05-14 20:02:00,12
2019-05-14 20:03:00,12
2019-05-14 20:04:00,13
2019-05-14 20:05:00,16
2019-05-14 20:06:00,10
2019-05-14 23:15:00,1
2019-05-14 23:21:00,2
2019-05-14 23:35:00,1
