1897,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-05-14 04:33:00,1
2019-05-14 12:46:00,2
2019-05-14 13:17:00,1
2019-05-14 13:28:00,10
2019-05-14 13:30:00,14
2019-05-14 13:31:00,8
2019-05-14 13:33:00,1
2019-05-14 13:34:00,9
2019-05-14 13:35:00,20
2019-05-14 13:36:00,3
2019-05-14 13:38:00,13
2019-05-14 13:39:00,20
2019-05-14 13:40:00,13
2019-05-14 13:41:00,9
2019-05-14 13:42:00,23
2019-05-14 15:03:00,10
2019-05-14 15:04:00,20
2019-05-14 15:05:00,16
2019-05-14 15:06:00,9
2019-05-14 15:07:00,10
2019-05-14 15:08:00,10
2019-05-14 15:09:00,10
2019-05-14 15:10:00,10
2019-05-14 15:12:00,10
2019-05-14 15:13:00,10
2019-05-14 15:20:00,3
2019-05-14 15:21:00,20
2019-05-14 15:26:00,5
2019-05-14 15:27:00,15
2019-05-14 15:32:00,3
2019-05-14 15:51:00,6
2019-05-14 15:52:00,6
2019-05-14 15:53:00,6
2019-05-14 15:54:00,3
2019-05-14 15:55:00,5
2019-05-14 15:56:00,5
2019-05-14 16:08:00,6
2019-05-14 16:09:00,3
2019-05-14 16:10:00,6
2019-05-14 16:47:00,1
2019-05-14 17:11:00,3
2019-05-14 17:13:00,3
2019-05-14 17:14:00,13
2019-05-14 17:15:00,3
2019-05-14 17:16:00,10
2019-05-14 17:19:00,10
2019-05-14 17:31:00,13
2019-05-14 17:32:00,7
2019-05-14 17:33:00,10
2019-05-14 17:34:00,20
2019-05-14 18:19:00,6
2019-05-14 18:20:00,9
2019-05-14 18:21:00,8
2019-05-14 18:48:00,10
2019-05-14 18:49:00,10
2019-05-14 19:16:00,3
2019-05-14 19:17:00,10
2019-05-14 19:18:00,3
2019-05-14 19:25:00,5
2019-05-14 19:27:00,5
2019-05-14 19:30:00,10
2019-05-14 19:31:00,20
2019-05-14 19:35:00,58
2019-05-14 19:36:00,36
2019-05-14 19:37:00,43
2019-05-14 19:38:00,27
2019-05-14 19:39:00,29
2019-05-14 19:40:00,47
2019-05-14 19:41:00,67
2019-05-14 19:42:00,44
2019-05-14 19:43:00,20
2019-05-14 19:44:00,35
2019-05-14 19:45:00,40
2019-05-14 19:46:00,35
2019-05-14 19:47:00,26
2019-05-14 19:48:00,48
2019-05-14 19:49:00,50
2019-05-14 19:50:00,25
2019-05-14 19:51:00,36
2019-05-14 19:52:00,20
2019-05-14 19:53:00,13
2019-05-14 19:54:00,26
2019-05-14 19:55:00,43
2019-05-14 19:56:00,30
2019-05-14 19:57:00,50
2019-05-14 19:58:00,40
2019-05-14 19:59:00,64
2019-05-14 20:00:00,28
2019-05-14 20:01:00,55
2019-05-14 20:02:00,39
2019-05-14 20:03:00,42
2019-05-14 20:04:00,48
2019-05-14 20:05:00,46
2019-05-14 20:06:00,43
2019-05-14 20:07:00,63
2019-05-14 20:08:00,33
2019-05-14 20:10:00,1
2019-05-14 21:35:00,1
