37,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-05-14 07:12:00,3
2019-05-14 07:13:00,12
2019-05-14 08:09:00,1
2019-05-14 10:42:00,1
2019-05-14 10:44:00,1
2019-05-14 13:28:00,1
2019-05-14 13:32:00,1
2019-05-14 13:33:00,1
2019-05-14 13:40:00,1
2019-05-14 14:11:00,2
2019-05-14 14:12:00,1
2019-05-14 14:20:00,1
2019-05-14 14:22:00,1
2019-05-14 14:57:00,1
2019-05-14 14:58:00,1
2019-05-14 14:59:00,1
2019-05-14 19:50:00,1
2019-05-14 23:21:00,5
2019-05-14 23:29:00,1
