11,"select top # p.objid,p.u-p.g,p.g-p.r ,p.r-p.i ,p.i-p.z,p.u-p.r,p.l,p.b from star p where b BETWEEN # and # OR b BETWEEN # and #"
2019-10-04 09:06:00,1
2019-10-04 10:30:00,1
2019-10-04 12:30:00,1
2019-10-04 12:35:00,2
2019-10-04 14:47:00,1
2019-10-04 14:56:00,1
2019-10-04 14:58:00,1
2019-10-04 14:59:00,1
2019-10-04 15:03:00,1
2019-10-04 15:05:00,1
