29,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,pm.pmra, pm.pmdec FROM PhotoObj AS p JOIN propermotions pm ON p.objid = pm.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < #"
2019-10-04 00:38:00,1
2019-10-04 14:21:00,1
2019-10-04 14:22:00,1
2019-10-04 14:24:00,1
2019-10-04 18:27:00,1
2019-10-04 18:28:00,2
2019-10-04 18:29:00,1
2019-10-04 18:30:00,1
2019-10-04 18:32:00,2
2019-10-04 18:35:00,1
2019-10-04 18:37:00,1
2019-10-04 19:21:00,1
2019-10-04 19:22:00,2
2019-10-04 19:25:00,2
2019-10-04 19:44:00,1
2019-10-04 19:46:00,1
2019-10-04 19:47:00,2
2019-10-04 19:49:00,1
2019-10-04 19:51:00,1
2019-10-04 19:52:00,1
2019-10-04 19:59:00,2
2019-10-04 20:00:00,1
2019-10-04 20:03:00,1
