2,"select top # s.specobjid, s.ra, s.dec, s.z from specobjall s join dbo.fGetNearbyObjEq(#, #, #) n on n.objid = s.bestobjid"
2019-10-04 15:26:00,1
2019-10-04 15:27:00,1
