2,"select p.ra, p.dec, p.j_m, p.h_m, p.k_m from photoObjAll p join dbo.fGetNearByObjEq(#, #, #) n on n.objID = p.objID"
2019-10-04 11:23:00,1
2019-10-04 11:25:00,1
