3,"SELECT TOP #   objid, specobjid, ra, dec, type,   modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z FROM PhotoPrimary WHERE ra BETWEEN (#-#)*# AND (#+#)*#   AND dec BETWEEN #-# AND #+#   AND specobjid=#   AND modelMag_r < #    AND type=#   And modelMag_g-ModelMag_i between # and #"
2019-06-29 17:22:00,1
2019-06-29 17:25:00,1
2019-06-29 17:26:00,1
