26,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-06-29 16:20:00,1
2019-06-29 16:26:00,1
2019-06-29 16:52:00,1
2019-06-29 16:53:00,1
2019-06-29 17:00:00,1
2019-06-29 17:05:00,1
2019-06-29 17:10:00,1
2019-06-29 17:14:00,1
2019-06-29 17:25:00,2
2019-06-29 17:29:00,1
2019-06-29 17:34:00,1
2019-06-29 17:44:00,1
2019-06-29 17:45:00,1
2019-06-29 17:47:00,1
2019-06-29 18:22:00,1
2019-06-29 18:26:00,1
2019-06-29 18:32:00,1
2019-06-29 18:54:00,1
2019-06-29 19:12:00,1
2019-06-29 19:25:00,1
2019-06-29 19:36:00,1
2019-06-29 19:45:00,1
2019-06-29 20:08:00,1
2019-06-29 20:17:00,1
2019-06-29 20:35:00,1
