66,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-06-29 00:45:00,1
2019-06-29 01:21:00,1
2019-06-29 01:46:00,1
2019-06-29 02:46:00,1
2019-06-29 03:45:00,1
2019-06-29 04:46:00,1
2019-06-29 05:46:00,1
2019-06-29 06:45:00,1
2019-06-29 07:47:00,1
2019-06-29 08:45:00,1
2019-06-29 09:45:00,1
2019-06-29 10:46:00,1
2019-06-29 11:46:00,1
2019-06-29 11:48:00,1
2019-06-29 11:49:00,1
2019-06-29 12:46:00,10
2019-06-29 13:45:00,1
2019-06-29 14:46:00,1
2019-06-29 15:45:00,1
2019-06-29 16:09:00,9
2019-06-29 16:28:00,2
2019-06-29 16:46:00,1
2019-06-29 16:48:00,7
2019-06-29 17:06:00,7
2019-06-29 17:46:00,1
2019-06-29 18:47:00,1
2019-06-29 19:46:00,1
2019-06-29 20:00:00,9
