26,"SELECT g.objid,g.ra,g.dec,p.z,p.zErr,q.u,q.g,q.r,q.i,q.z FROM GALAXY as g JOIN PhotoZ as p ON p.objID = g.ObjID JOIN PhotoObjAll as q ON q.objID = g.objID WHERE (g.ra between # and #) and (g.dec between # and #)"
2019-06-29 04:59:00,1
2019-06-29 07:05:00,1
2019-06-29 07:59:00,1
2019-06-29 10:59:00,1
2019-06-29 12:29:00,1
2019-06-29 13:00:00,1
2019-06-29 13:01:00,2
2019-06-29 13:02:00,1
2019-06-29 13:03:00,5
2019-06-29 13:05:00,2
2019-06-29 13:06:00,1
2019-06-29 13:07:00,2
2019-06-29 13:09:00,1
2019-06-29 13:10:00,1
2019-06-29 13:11:00,1
2019-06-29 13:14:00,1
2019-06-29 13:15:00,1
2019-06-29 17:57:00,1
2019-06-29 21:54:00,1
