1075,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-06-29 00:13:00,1
2019-06-29 00:24:00,3
2019-06-29 00:25:00,8
2019-06-29 00:26:00,9
2019-06-29 00:27:00,11
2019-06-29 00:28:00,10
2019-06-29 00:29:00,10
2019-06-29 00:30:00,9
2019-06-29 00:31:00,10
2019-06-29 00:32:00,11
2019-06-29 00:33:00,11
2019-06-29 00:34:00,9
2019-06-29 00:35:00,6
2019-06-29 00:36:00,7
2019-06-29 00:37:00,9
2019-06-29 00:38:00,9
2019-06-29 00:39:00,8
2019-06-29 00:40:00,11
2019-06-29 00:41:00,9
2019-06-29 00:42:00,8
2019-06-29 00:43:00,9
2019-06-29 00:44:00,10
2019-06-29 00:45:00,9
2019-06-29 00:46:00,12
2019-06-29 00:47:00,11
2019-06-29 00:48:00,9
2019-06-29 00:49:00,12
2019-06-29 00:50:00,12
2019-06-29 00:51:00,10
2019-06-29 00:52:00,2
2019-06-29 00:53:00,9
2019-06-29 00:54:00,12
2019-06-29 00:55:00,10
2019-06-29 00:56:00,6
2019-06-29 00:58:00,2
2019-06-29 00:59:00,1
2019-06-29 01:02:00,2
2019-06-29 01:05:00,1
2019-06-29 01:11:00,2
2019-06-29 01:12:00,1
2019-06-29 01:13:00,1
2019-06-29 01:15:00,1
2019-06-29 01:20:00,2
2019-06-29 01:23:00,1
2019-06-29 01:26:00,1
2019-06-29 01:28:00,1
2019-06-29 02:25:00,1
2019-06-29 02:26:00,1
2019-06-29 02:27:00,1
2019-06-29 02:28:00,1
2019-06-29 02:29:00,2
2019-06-29 02:30:00,4
2019-06-29 02:31:00,4
2019-06-29 02:32:00,3
2019-06-29 02:33:00,7
2019-06-29 02:34:00,7
2019-06-29 02:35:00,5
2019-06-29 02:36:00,6
2019-06-29 02:37:00,7
2019-06-29 02:38:00,5
2019-06-29 02:39:00,6
2019-06-29 02:40:00,5
2019-06-29 02:41:00,2
2019-06-29 02:42:00,7
2019-06-29 02:43:00,2
2019-06-29 02:44:00,4
2019-06-29 02:45:00,5
2019-06-29 02:46:00,4
2019-06-29 02:47:00,6
2019-06-29 02:48:00,6
2019-06-29 02:49:00,6
2019-06-29 02:50:00,6
2019-06-29 02:51:00,7
2019-06-29 02:52:00,5
2019-06-29 02:53:00,5
2019-06-29 02:54:00,5
2019-06-29 02:55:00,5
2019-06-29 02:56:00,1
2019-06-29 02:57:00,4
2019-06-29 02:59:00,5
2019-06-29 03:00:00,3
2019-06-29 03:01:00,6
2019-06-29 03:02:00,6
2019-06-29 03:03:00,5
2019-06-29 03:04:00,8
2019-06-29 03:05:00,5
2019-06-29 03:06:00,2
2019-06-29 03:07:00,2
2019-06-29 03:08:00,4
2019-06-29 03:09:00,2
2019-06-29 03:10:00,4
2019-06-29 03:11:00,7
2019-06-29 03:12:00,2
2019-06-29 03:13:00,3
2019-06-29 03:14:00,1
2019-06-29 03:15:00,3
2019-06-29 03:16:00,7
2019-06-29 03:17:00,7
2019-06-29 03:18:00,5
2019-06-29 03:19:00,4
2019-06-29 03:20:00,5
2019-06-29 03:21:00,6
2019-06-29 03:22:00,3
2019-06-29 03:23:00,3
2019-06-29 03:24:00,7
2019-06-29 03:25:00,7
2019-06-29 03:26:00,2
2019-06-29 03:27:00,2
2019-06-29 03:28:00,3
2019-06-29 03:29:00,1
2019-06-29 03:30:00,1
2019-06-29 03:31:00,5
2019-06-29 03:32:00,5
2019-06-29 03:33:00,7
2019-06-29 03:34:00,5
2019-06-29 03:35:00,4
2019-06-29 03:36:00,7
2019-06-29 03:37:00,4
2019-06-29 03:38:00,3
2019-06-29 03:39:00,9
2019-06-29 03:40:00,4
2019-06-29 03:41:00,6
2019-06-29 03:42:00,5
2019-06-29 03:43:00,6
2019-06-29 03:44:00,6
2019-06-29 03:45:00,8
2019-06-29 03:46:00,6
2019-06-29 03:47:00,5
2019-06-29 03:48:00,2
2019-06-29 03:49:00,7
2019-06-29 03:50:00,6
2019-06-29 03:51:00,6
2019-06-29 03:52:00,1
2019-06-29 03:53:00,3
2019-06-29 03:54:00,7
2019-06-29 03:55:00,3
2019-06-29 03:56:00,5
2019-06-29 03:57:00,3
2019-06-29 03:58:00,3
2019-06-29 03:59:00,6
2019-06-29 04:00:00,7
2019-06-29 04:01:00,7
2019-06-29 04:02:00,1
2019-06-29 04:03:00,3
2019-06-29 04:04:00,3
2019-06-29 04:05:00,5
2019-06-29 04:06:00,2
2019-06-29 04:07:00,1
2019-06-29 04:08:00,3
2019-06-29 04:09:00,6
2019-06-29 04:10:00,6
2019-06-29 04:11:00,1
2019-06-29 04:12:00,1
2019-06-29 04:13:00,4
2019-06-29 04:14:00,1
2019-06-29 04:15:00,4
2019-06-29 04:16:00,4
2019-06-29 04:17:00,5
2019-06-29 04:18:00,6
2019-06-29 04:19:00,8
2019-06-29 04:20:00,8
2019-06-29 04:21:00,5
2019-06-29 04:22:00,2
2019-06-29 04:23:00,3
2019-06-29 04:24:00,6
2019-06-29 04:25:00,1
2019-06-29 04:26:00,7
2019-06-29 04:27:00,1
2019-06-29 04:28:00,1
2019-06-29 04:29:00,5
2019-06-29 04:30:00,2
2019-06-29 04:31:00,4
2019-06-29 04:32:00,5
2019-06-29 04:33:00,3
2019-06-29 04:34:00,1
2019-06-29 04:35:00,7
2019-06-29 04:36:00,5
2019-06-29 04:37:00,3
2019-06-29 04:38:00,5
2019-06-29 04:39:00,6
2019-06-29 04:40:00,8
2019-06-29 04:41:00,5
2019-06-29 04:42:00,6
2019-06-29 04:43:00,6
2019-06-29 04:44:00,7
2019-06-29 04:45:00,5
2019-06-29 04:46:00,7
2019-06-29 04:47:00,9
2019-06-29 04:48:00,6
2019-06-29 04:49:00,9
2019-06-29 04:50:00,4
2019-06-29 04:51:00,8
2019-06-29 04:52:00,7
2019-06-29 04:53:00,9
2019-06-29 04:54:00,8
2019-06-29 04:55:00,9
2019-06-29 04:56:00,9
2019-06-29 04:57:00,8
2019-06-29 04:58:00,8
2019-06-29 04:59:00,7
2019-06-29 05:00:00,2
2019-06-29 05:01:00,6
2019-06-29 05:02:00,5
2019-06-29 05:03:00,4
2019-06-29 05:04:00,4
2019-06-29 05:05:00,3
2019-06-29 05:06:00,1
2019-06-29 05:07:00,1
2019-06-29 05:08:00,1
2019-06-29 05:09:00,1
2019-06-29 05:10:00,2
2019-06-29 05:11:00,1
