478,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-29 12:36:00,13
2019-06-29 12:40:00,16
2019-06-29 12:51:00,17
2019-06-29 13:14:00,159
2019-06-29 13:27:00,59
2019-06-29 13:47:00,14
2019-06-29 13:51:00,26
2019-06-29 14:24:00,39
2019-06-29 14:25:00,14
2019-06-29 14:29:00,22
2019-06-29 14:38:00,10
2019-06-29 14:59:00,30
2019-06-29 15:15:00,31
2019-06-29 15:27:00,19
2019-06-29 15:29:00,9
