42,select and #=#
2019-06-29 16:13:00,1
2019-06-29 16:34:00,1
2019-06-29 16:57:00,1
2019-06-29 17:20:00,1
2019-06-29 17:45:00,1
2019-06-29 18:31:00,1
2019-06-29 19:17:00,1
2019-06-29 19:37:00,1
2019-06-29 20:03:00,1
2019-06-29 20:13:00,1
2019-06-29 20:22:00,1
2019-06-29 20:30:00,1
2019-06-29 20:38:00,1
2019-06-29 20:45:00,1
2019-06-29 20:51:00,1
2019-06-29 21:05:00,1
2019-06-29 21:29:00,1
2019-06-29 21:34:00,1
2019-06-29 21:39:00,1
2019-06-29 21:43:00,1
2019-06-29 21:48:00,1
2019-06-29 21:53:00,1
2019-06-29 21:58:00,1
2019-06-29 22:18:00,1
2019-06-29 22:23:00,1
2019-06-29 22:28:00,1
2019-06-29 22:42:00,1
2019-06-29 22:46:00,1
2019-06-29 22:54:00,1
2019-06-29 23:02:00,1
2019-06-29 23:06:00,1
2019-06-29 23:14:00,1
2019-06-29 23:18:00,1
2019-06-29 23:21:00,1
2019-06-29 23:28:00,1
2019-06-29 23:36:00,1
2019-06-29 23:39:00,1
2019-06-29 23:42:00,1
2019-06-29 23:45:00,1
2019-06-29 23:51:00,1
2019-06-29 23:54:00,1
2019-06-29 23:57:00,1
