132122,"SELECT type FROM dbo.fGetNearestObjAllEq(#,#,#)"
2019-01-15 01:22:00,102
2019-01-15 01:23:00,101
2019-01-15 01:24:00,88
2019-01-15 01:25:00,35
2019-01-15 01:33:00,265
2019-01-15 01:34:00,415
2019-01-15 01:35:00,443
2019-01-15 01:37:00,790
2019-01-15 01:39:00,873
2019-01-15 01:40:00,875
2019-01-15 01:41:00,972
2019-01-15 01:42:00,929
2019-01-15 01:43:00,906
2019-01-15 01:44:00,873
2019-01-15 01:45:00,945
2019-01-15 01:46:00,912
2019-01-15 01:47:00,975
2019-01-15 01:48:00,967
2019-01-15 01:49:00,976
2019-01-15 01:50:00,1007
2019-01-15 01:51:00,448
2019-01-15 01:55:00,419
2019-01-15 01:56:00,1055
2019-01-15 01:57:00,1099
2019-01-15 01:58:00,1069
2019-01-15 01:59:00,1001
2019-01-15 02:00:00,944
2019-01-15 02:01:00,972
2019-01-15 02:02:00,865
2019-01-15 02:03:00,182
2019-01-15 02:49:00,454
2019-01-15 02:50:00,945
2019-01-15 02:51:00,1010
2019-01-15 02:52:00,1025
2019-01-15 02:53:00,1082
2019-01-15 02:54:00,1137
2019-01-15 02:55:00,1087
2019-01-15 02:56:00,1046
2019-01-15 02:57:00,1063
2019-01-15 02:58:00,1017
2019-01-15 02:59:00,1074
2019-01-15 03:00:00,1122
2019-01-15 03:01:00,851
2019-01-15 03:02:00,1069
2019-01-15 03:03:00,1013
2019-01-15 03:04:00,1025
2019-01-15 03:05:00,1030
2019-01-15 03:06:00,951
2019-01-15 03:07:00,877
2019-01-15 03:08:00,880
2019-01-15 03:09:00,952
2019-01-15 03:10:00,958
2019-01-15 03:11:00,929
2019-01-15 03:12:00,320
2019-01-15 16:48:00,125
2019-01-15 16:49:00,948
2019-01-15 16:50:00,967
2019-01-15 16:51:00,1052
2019-01-15 16:52:00,958
2019-01-15 16:53:00,975
2019-01-15 16:54:00,831
2019-01-15 16:55:00,911
2019-01-15 16:56:00,1031
2019-01-15 16:57:00,1035
2019-01-15 16:58:00,932
2019-01-15 16:59:00,1054
2019-01-15 17:00:00,1151
2019-01-15 17:01:00,941
2019-01-15 17:02:00,1119
2019-01-15 17:03:00,1184
2019-01-15 17:04:00,1107
2019-01-15 17:05:00,1158
2019-01-15 17:06:00,975
2019-01-15 17:07:00,886
2019-01-15 17:08:00,891
2019-01-15 17:09:00,973
2019-01-15 17:10:00,1003
2019-01-15 17:11:00,999
2019-01-15 17:12:00,918
2019-01-15 17:13:00,897
2019-01-15 17:14:00,932
2019-01-15 17:15:00,908
2019-01-15 17:16:00,859
2019-01-15 17:17:00,933
2019-01-15 17:18:00,942
2019-01-15 17:19:00,957
2019-01-15 17:20:00,759
2019-01-15 17:21:00,879
2019-01-15 17:22:00,921
2019-01-15 17:23:00,907
2019-01-15 17:24:00,902
2019-01-15 17:25:00,916
2019-01-15 17:26:00,905
2019-01-15 17:27:00,934
2019-01-15 17:28:00,870
2019-01-15 17:29:00,927
2019-01-15 17:30:00,604
2019-01-15 17:31:00,95
2019-01-15 18:43:00,428
2019-01-15 18:44:00,1022
2019-01-15 18:45:00,1072
2019-01-15 18:46:00,985
2019-01-15 18:47:00,1055
2019-01-15 18:48:00,1167
2019-01-15 18:49:00,1140
2019-01-15 18:50:00,1128
2019-01-15 18:51:00,1106
2019-01-15 18:52:00,1052
2019-01-15 18:53:00,1090
2019-01-15 18:54:00,1144
2019-01-15 18:55:00,1062
2019-01-15 18:56:00,1038
2019-01-15 18:57:00,1133
2019-01-15 18:58:00,1180
2019-01-15 18:59:00,1162
2019-01-15 19:00:00,816
2019-01-15 19:01:00,1010
2019-01-15 19:02:00,1070
2019-01-15 19:03:00,1017
2019-01-15 19:04:00,1025
2019-01-15 19:05:00,1059
2019-01-15 19:06:00,781
2019-01-15 19:07:00,933
2019-01-15 19:08:00,934
2019-01-15 19:09:00,920
2019-01-15 19:10:00,537
2019-01-15 19:11:00,945
2019-01-15 19:12:00,921
2019-01-15 19:13:00,909
2019-01-15 19:14:00,937
2019-01-15 19:15:00,946
2019-01-15 19:16:00,937
2019-01-15 19:17:00,931
2019-01-15 19:18:00,910
2019-01-15 19:19:00,951
2019-01-15 19:20:00,909
2019-01-15 19:21:00,906
2019-01-15 19:22:00,895
2019-01-15 19:23:00,917
2019-01-15 19:24:00,906
2019-01-15 19:25:00,852
2019-01-15 19:26:00,993
2019-01-15 19:27:00,999
2019-01-15 19:28:00,1041
2019-01-15 19:29:00,1059
2019-01-15 19:30:00,1086
2019-01-15 19:31:00,515
