851,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-15 13:32:00,47
2019-01-15 13:33:00,105
2019-01-15 13:35:00,83
2019-01-15 13:36:00,78
2019-01-15 13:39:00,80
2019-01-15 13:40:00,29
2019-01-15 13:43:00,67
2019-01-15 13:44:00,18
2019-01-15 13:45:00,64
2019-01-15 13:47:00,14
2019-01-15 13:48:00,1
2019-01-15 13:49:00,43
2019-01-15 13:50:00,26
2019-01-15 13:53:00,23
2019-01-15 13:54:00,46
2019-01-15 13:55:00,23
2019-01-15 13:56:00,43
2019-01-15 13:57:00,61
